channel_id,train_time,train_cpu,train_mem,train_epochs,eval_loss,predict_time,predict_cpu,predict_mem,test_loss,detect_time,detect_cpu,detect_mem,n_anomalies,n_detected,true_positives,false_positives,false_negatives,precision,recall,f1
T-1,36.009517669677734,49.83259052924792,971902473.9832866,13,0.0045979326500350404,0.08274555206298828,48.1625,923041792.0,0.023812978,0.16113805770874023,29.6375,925007872.0,2,2,1,1,1,0.5,0.5,0.5
T-2,56.58371376991272,49.94867021276595,978228456.3971641,13,0.0042040904776917565,0.1377882957458496,49.0,890294272.0,0.040083475,0.2345438003540039,16.520833333333336,890294272.0,1,2,0,2,1,0.0,0.0,0.0
T-3,62.19071698188782,49.940725806451624,993459094.2967745,11,0.0002451089530950412,0.19910740852355957,48.2,909094912.0,0.011891384,0.12309670448303223,34.18125,909094912.0,2,1,1,0,1,1.0,0.5,0.6666666666666666
E-1,76.65276980400085,49.97473821989527,937600380.6492156,25,0.0015704945059648405,0.0825042724609375,47.5875,885542912.0,0.05728249,0.15684270858764648,29.6625,885542912.0,2,5,2,3,0,0.4,1.0,0.5714285714285715
E-2,57.44993233680725,49.95366492146592,939982404.8027924,13,0.005418003679046201,0.13475275039672852,47.9375,868249600.0,0.051424067,0.15862131118774414,17.96875,868249600.0,1,1,1,0,0,1.0,1.0,1.0
E-3,52.63842582702637,49.89254761904762,844636752.9447621,9,0.00227981795453363,0.20072674751281738,47.631249999999994,724656128.0,0.010993173,0.11206316947937012,34.068749999999994,713822208.0,1,1,1,0,0,1.0,1.0,1.0
E-4,140.38617253303528,49.99448713366691,829459098.0757688,20,0.0025329911538089314,0.25563669204711914,48.75,806678528.0,0.023894273,0.1934506893157959,23.56875,806678528.0,1,5,1,1,0,0.5,1.0,0.6666666666666666
E-5,153.94415092468262,49.931013689700116,876827064.5736645,19,0.003039495146367699,0.31898045539855957,49.653125,788865024.0,0.17314568,0.11605501174926758,13.58125,726798336.0,1,0,0,0,1,1.0,0.0,0.0
E-6,324.1631820201874,49.68468653250749,891166495.544272,35,2.8269579514825536e-06,0.3953113555908203,49.474999999999994,822697984.0,0.017607609,0.16674351692199707,32.31875,735227904.0,1,1,1,0,0,1.0,1.0,1.0
E-7,318.22923016548157,49.3243180384736,858483764.6370223,31,0.0010304869574611075,0.45519304275512695,49.217499999999994,608530432.0,0.019475775,0.20239686965942383,19.416666666666668,608530432.0,1,1,1,0,0,1.0,1.0,1.0
E-8,263.2113859653473,48.92889164441052,859389711.3346037,23,0.0022971792301783958,0.5339107513427734,49.52291666666666,745014613.3333334,0.038348358,0.19262409210205078,16.73125,746893312.0,1,1,1,0,0,1.0,1.0,1.0
E-9,179.2774634361267,49.07219344904821,889940676.6584536,14,0.004991199381442534,0.6018633842468262,49.8125,641198762.6666666,0.020273246,0.1132805347442627,32.10625,646135808.0,1,1,1,0,0,1.0,1.0,1.0
E-10,243.62123441696167,48.81140296662551,911391186.6435913,18,0.005217707442675924,0.6629743576049805,49.910714285714285,634134528.0,0.07876619,0.22929167747497559,20.254166666666666,634134528.0,2,4,2,2,0,0.5,1.0,0.6666666666666666
E-11,297.9444434642792,48.5497683625337,945120819.0619943,21,0.0017232805209156747,0.7342486381530762,49.778125,770207744.0,0.071691476,0.2533383369445801,15.666666666666666,770207744.0,2,6,2,4,0,0.3333333333333333,1.0,0.5
E-12,500.25091195106506,47.39339991969481,963454316.9066435,29,0.0007800702611954572,0.8307509422302246,48.87083333333334,767871203.5555556,0.05943112,0.19910573959350586,14.868749999999999,758976512.0,2,7,2,3,0,0.4,1.0,0.5714285714285715
E-13,301.83402943611145,46.38738360492181,938288511.1060858,15,0.01842135206485788,0.9380302429199219,49.489999999999995,809800499.2,0.03588131,0.2033374309539795,14.320833333333335,815008426.6666666,3,2,1,1,2,0.5,0.3333333333333333,0.4
D-1,95.51636052131653,49.959401260504315,875538320.134453,33,0.0010754589780440761,0.06913495063781738,44.4,828510208.0,0.26612672,0.1320195198059082,25.925,828510208.0,1,1,1,0,0,1.0,1.0,1.0
D-2,149.934996843338,49.98157630522099,871221653.7617135,35,4.200458272565457e-08,0.13933110237121582,47.38125,827543552.0,1.6473907,0.15296292304992676,18.78125,831672320.0,1,3,1,1,0,0.5,1.0,0.6666666666666666
D-3,110.94637966156006,49.98218806509941,882839352.0144664,20,5.535966475791712e-05,0.1947765350341797,47.325,842272768.0,0.5112321,0.11040306091308594,33.5625,842272768.0,1,1,1,0,0,1.0,1.0,1.0
D-4,150.9417290687561,49.83075066577895,875901677.933423,22,6.464280522777699e-05,0.2741892337799072,48.6125,825502378.6666666,0.36130774,0.1226203441619873,25.8125,829128704.0,1,1,1,0,0,1.0,1.0,1.0
D-5,255.7346692085266,50.007540227629555,867990433.1554155,35,1.2380759351060533e-07,0.30034875869750977,49.57083333333333,826679296.0,3.1206682,0.12262868881225586,34.14375,826744832.0,1,0,0,0,1,1.0,0.0,0.0
D-6,144.18923234939575,49.99716423103688,865223733.4446757,17,0.0042035041260533035,0.37459635734558105,49.559375,827994112.0,0.018270738,0.13753175735473633,27.34375,827994112.0,1,1,1,0,0,1.0,1.0,1.0
D-7,348.6832835674286,49.98831318365005,862208162.7081163,35,1.8223187048249656e-07,0.4193999767303467,49.445,822947840.0,0.45206577,0.08897900581359863,14.8875,822947840.0,1,2,1,0,0,1.0,1.0,1.0
D-8,331.58559703826904,50.013063710653825,861316238.5665874,30,2.9671976153888835e-08,0.5014314651489258,49.652499999999996,825585664.0,0.010910555,0.1136007308959961,34.2,825585664.0,1,0,0,0,1,1.0,0.0,0.0
D-9,460.87538981437683,47.593398845818854,847031970.3414633,35,1.1156047907689981e-07,0.5304005146026611,48.34583333333333,797395626.6666666,0.40717152,0.11389970779418945,14.29375,802136064.0,1,1,1,0,0,1.0,1.0,1.0
D-11,323.52941060066223,43.65821184863521,863368339.3746907,19,0.001347949782939395,0.5775041580200195,47.00416666666666,804478976.0,0.015288738,0.1293938159942627,27.88125,804478976.0,1,1,1,0,0,1.0,1.0,1.0
D-12,8.469438314437866,45.06985294117646,835683267.7647063,17,0.026818836107850075,0.6771454811096191,47.7625,806043648.0,0.41335008,0.1456923484802246,27.275,806174720.0,1,3,1,0,0,1.0,1.0,1.0
D-13,269.0741858482361,40.22255221932114,886458086.1230893,22,0.0,0.7538719177246094,49.1015625,825188352.0,0.9820554,0.11226940155029297,20.29375,829759488.0,1,1,1,0,0,1.0,1.0,1.0
R-1,102.25022077560425,49.976901373896,887924774.1864573,35,2.2483028327968668e-08,0.061385393142700195,45.5375,841093120.0,0.019037683,0.09717535972595215,36.9875,841093120.0,1,0,0,0,1,1.0,0.0,0.0
A-1,103.30966520309448,49.99468446601942,886954365.7631078,35,6.284475221699874e-08,0.07053947448730469,37.85,838914048.0,0.017344112,0.13743066787719727,27.1625,838914048.0,1,1,1,0,0,1.0,1.0,1.0
A-2,38.629833698272705,49.90717532467531,882202703.7922077,10,0.029582404531538486,0.12672686576843262,49.6875,840486912.0,0.038703736,0.16887950897216797,15.518749999999999,840486912.0,1,1,1,0,0,1.0,1.0,1.0
A-3,69.52006530761719,49.963239538239534,867887981.7142863,13,0.017787859891541302,0.1978611946105957,48.5625,823148544.0,0.017667647,0.15735316276550293,32.90625,823148544.0,1,2,1,1,0,0.5,1.0,0.6666666666666666
A-4,32.31968116760254,49.89845201238392,861851660.6811148,5,0.020452734548598528,0.2586174011230469,47.925,823496704.0,0.022331875,0.1566784381866455,23.58125,823496704.0,1,0,0,0,1,1.0,0.0,0.0
A-5,50.532604694366455,49.94298115079364,860733106.7936511,35,5.717811717431687e-07,0.17910194396972656,44.70625,822935552.0,0.75510657,0.04717135429382324,45.85,822935552.0,1,1,1,0,0,1.0,1.0,1.0
A-6,25.281293153762817,49.85629960317459,858826930.7936504,16,0.006065643799956888,0.20757484436035156,49.9125,822906880.0,0.032700676,0.09183073043823242,8.6875,822906880.0,1,1,1,0,0,1.0,1.0,1.0
A-7,230.211416721344,50.01438535309503,859221766.0261551,21,0.005914873236583339,0.46597838401794434,49.97749999999999,823013376.0,0.017410653,0.16225099563598633,24.775,823013376.0,1,0,0,0,1,1.0,0.0,0.0
A-8,43.22508978843689,49.87105568445474,857160036.3805104,18,0.028884584782645106,0.5179300308227539,49.35208333333333,822870016.0,0.19082627,0.09624147415161133,13.6125,822870016.0,1,2,1,0,0,1.0,1.0,1.0
A-9,65.45312881469727,47.911676875957085,856784676.4594189,23,0.03453690209425986,0.5946311950683594,47.58958333333334,796725248.0,0.39088467,0.10368824005126953,31.66875,796725248.0,1,1,1,0,0,1.0,1.0,1.0
F-1,87.22258448600769,49.97745972382049,845284289.5466051,30,0.021462771110236645,0.06761717796325684,49.4625,796921856.0,0.05223384,0.09976577758789062,39.4,796921856.0,1,1,0,1,1,0.0,0.0,0.0
F-2,68.9739077091217,49.67347161572055,839317250.6084429,16,0.02562234601807884,0.14535212516784668,48.0375,796999680.0,0.017015537,0.17888355255126953,19.25625,800735232.0,1,1,1,0,0,1.0,1.0,1.0
F-3,72.69988536834717,49.96320689655175,849720629.3186206,13,9.256646282867425e-06,0.195328950881958,46.1875,808456192.0,0.008741152,0.19453978538513184,33.55,808456192.0,1,10,0,10,1,0.0,0.0,0.0
S-1,34.39097619056702,49.922631195335256,856949930.169096,12,0.1700889648248752,0.06156015396118164,43.5125,809766912.0,0.23254126,0.1469583511352539,24.09375,809766912.0,1,1,1,0,0,1.0,1.0,1.0
B-1,86.29631423950195,49.98149709302321,853479743.1069772,35,9.965737758830886e-09,0.06637859344482422,47.625,806240256.0,1.166837,0.1096498966217041,26.575000000000003,806240256.0,1,1,1,0,0,1.0,1.0,1.0
G-1,32.14170980453491,49.89415887850469,853319539.6386293,11,0.021919783980896074,0.06926822662353516,36.4375,805965824.0,0.009137441,0.14809536933898926,27.21875,805965824.0,1,1,0,1,1,0.0,0.0,0.0
G-2,128.6430459022522,49.987890015600584,844662483.6692661,35,2.584788829957623e-07,0.12464070320129395,49.3375,792686592.0,0.011628813,0.13068866729736328,15.087499999999999,795504640.0,1,0,0,0,1,1.0,0.0,0.0
G-3,101.28150725364685,49.98021039603962,842475467.2792072,20,0.007038297617327771,0.1825084686279297,45.8625,802082816.0,0.011320829,0.1307356357574463,30.3875,802213888.0,1,1,1,0,0,1.0,1.0,1.0
G-4,103.71641063690186,49.984030464216644,841980117.9110259,17,7.690632264711894e-05,0.2352597713470459,48.49583333333333,802680832.0,0.013181047,0.15496134757995605,17.99375,802680832.0,1,1,0,1,1,0.0,0.0,0.0
G-6,225.39333152770996,50.005186999109476,840933439.82903,27,2.3299695107602424e-06,0.3297722339630127,49.665625,802766848.0,0.020206735,0.20771050453186035,15.275,802766848.0,1,1,1,0,0,1.0,1.0,1.0
G-7,65.36572527885437,49.955924079754574,843817682.4539883,8,0.02674283813082314,0.3745450973510742,48.909375,807682048.0,0.040125325,0.23111414909362793,22.754166666666666,807682048.0,3,3,3,0,0,1.0,1.0,1.0
P-1,62.344977378845215,49.96328376205788,855327905.3376206,21,0.02819942745069663,0.0661478042602539,37.3,807854080.0,0.031260535,0.15623068809509277,25.956249999999997,807854080.0,3,0,0,0,3,1.0,0.0,0.0
P-2,33.57913517951965,49.90343283582088,852895395.5343282,8,0.0007933347175518671,0.1268162727355957,47.181250000000006,808161280.0,0.13781437,0.14644956588745117,16.7125,808161280.0,1,1,1,0,0,1.0,1.0,1.0
P-3,66.14674234390259,49.964776176024216,849489839.198787,12,0.006871104809559054,0.19601154327392578,49.693749999999994,808259584.0,0.02775346,0.11611676216125488,32.9375,808259584.0,1,2,1,0,0,1.0,1.0,1.0
P-4,221.1379964351654,50.00911411070767,836496792.8566234,35,1.5509270845370793e-07,0.24145984649658203,48.50833333333333,796890453.3333334,0.02232215,0.18681025505065918,18.4125,798834688.0,3,3,3,0,0,1.0,1.0,1.0
P-7,123.65322828292847,49.994196428571456,846232921.7662349,15,0.004408630878768033,0.32275938987731934,49.8,808169472.0,0.011039088,0.14226818084716797,14.893749999999999,808169472.0,1,1,1,0,0,1.0,1.0,1.0
T-4,71.84203386306763,49.975855446927376,855613502.9273744,30,0.04734953599316733,0.02424144744873047,44.8625,808615936.0,0.05706145,0.005463600158691406,19.7375,808747008.0,1,2,1,1,0,0.5,1.0,0.6666666666666666
T-5,120.30035090446472,49.987176814011676,852094422.5788146,35,3.199816051489636e-07,0.03751873970031738,45.6375,808554496.0,0.021121044,0.008595705032348633,25.7375,808554496.0,1,1,1,0,0,1.0,1.0,1.0
T-12,17.824753522872925,49.75070224719103,850496845.6629212,9,0.004221300827339292,0.05772280693054199,44.3375,808759296.0,0.027965853,0.014054298400878906,34.4875,808759296.0,1,1,1,0,0,1.0,1.0,1.0
